processed_text,label
worry payment problem may never joyce meyer motivation leadership worry,2
roommate okay spell autocorrect terrible world prob,0
cute atsu probably shy photo cherry help uwu,1
rooney fucking untouchable fuck dreadful depay look decentishtonight,0
pretty depressing hit pan favourite highlighter,3
user pussy weak hear stfu bitch get threaten pregnant,0
make yearly transition excited hopeful college returner sick exhausted pessimist college,3
tiller breezy collab album rapping singing probably fire,1
user broadband shock regret sign angry go virgin,0
user look teef growl,0
user user usa embarrassing watch last time guy game horrible joke,0
new york several baloch indian activist hold demonstration outside user headquarter demand pak stop export terror india,3
glee fill normy dry humping recent high profile celebrity break pathetic wrong world today,0
fucking muppet user stalker,0
autocorrect change resent greatly,0
user would never strategically vote someone agree lot clinton vote base fear negativity,0
user hater low self worth self righteous delusion cower thought change change inevitable,0
save order risk life panic stay calm rescue,2
user uggh really horrible bad person stretch imagination hope person realize,2
user user user tamra would f swing tamrankelly piece pile_of_poo need admit bully,0
love happiness sadness feeling dependent another person,2
possible change med well do stress difficult tell part despair circumstantial drug,3
also definitely still bitter yellow ranger asian asian representation hollywood essentially shrug anyway,0
user irony protest kind stuff orwellian nightmare think fight,0
user user nah way horrible,0
user think becz much terror pak nd urself leader forget difference way leader nd terrorist,0
angel delight everything,1
puzzle invest open portland feodal population correlative straight snorting infuriate xlzjyhg,0
believe go start singe snap story tractor switch little bit,1
rage rage ep come soon keep post youtube youtube gaming rage,0
start watch glee week addicted face_with_rolling_eyes glee g leek,1
jorge deserve honestly weak 90dayfiance,0
user shit even begin describe fiery little demon straight hell full_moon_face new_moon_face,0
user user ditto amazing atmosphere philipp plein cheerleader stunt london event cheer,1
interview preparation hate talk dull subject matter yawn,0
manchester derby home,1
would probably useful woman deal reread article woman harass subway concern,0
want playful relationshipnme kick couch,1
romero fuck dreadful like seriously month old well,0
user take grant misogyny air treat normal angry response pathological,0
user oh see see many people mourn loss surprised see tweet suppose old sa,3
gutte drop earring sink school,3
happy birthday stephen king man responsible good horror past year whole bunch bad,1
courage always rise every attempt intimidate menelizabeth bennett pride prejudicenquote courage face fear,2
good day work get shake jim lehrers hand thank user still kick shy hug user,1
bored fat full ridiculously overweight roll galore,3
user flirt simper pout repeat yuck,0
trumpism likewise rest bed racial resentment make knowingly intentionally long trump get politic,0
bpharm4 guy eish guy bring anger life see nje like darkness fill user know,0
tear eye dry burn like wire lightbulb,0
hell fury like woman scorn william congreve,0
user try get early flt 2day user turnd away late agent let pa silver elite leave behind,3
user wish could someday come spain play believe go see sad,3
val get little big hiking boot bakewell little terror gb bo,1
user bt 화양연화 trilogy mv time fav raising_hand quite gloomy beautiful well sparkle,1
user user prudence suggest bump week view skepticism mediahrc axis angry,0
thank disney theme episode let discover amazing user hilarious,1
need new outlet rage,0
rewatche raise hope hubs time totally forget hilarious face_with_tears_of_joy go,1
user user wow hear forever random great sting xph,1
may optimism tomorrow foundation today,2
user user user nnand also try find youtube fucking nightmare,0
user spend fucking hour still get dam siva fragment fellwinter peak mountain,0
happy birthday lose lose dharma initiative year 22september2004 oceanic,1
people like see happy exterior hopelessness sometimes feel inside depression anxiety prob z,3
people go speed limit irritate,0
ff nnuser nnsoul blue rock bandnnmusic heartnnwith soul passion nnxx musical_note xx,1
user user ohh come sense terror support stone pelt vandalize people gather protest announce,0
fav movie horror make like use see great year,3
would like bridge divide right leave twitter say new tweet truncating thing fucking awful,0
user shy xd,3
happen need smoke,0
joes gf start singe star joe get angry sing right start angrily singe back,0
user remember heyday lady range age would say mid30s early 70s,1
user house get instestine scare poop shit pant,0
user user user nndo redneck intellectually intimidate force dancing clown,0
sometimes like talk sadness time want distract friend laughter shopping eat nnmh chat,3
noooooo user without mary berry awful end era go 2b lost user buy lame duck money,0
bright side music theory teacher pocket dabbed say know hip walk away face_with_tears_of_joy loudly_crying_face,1
user go way either get accept go change mope,0
people like see happy exterior hopelessness sometimes feel inside depression anxiety anxietyprobz,3
we mess mind anticipate next episode apprehension delight helpline,1
god need new goal keeper horrific,0
user old age hope rest we destine become deatheater nightmare,3
user want green potato bottle tag still plus soak wet item deliver win todaysadly,3
everybodys worry stop terrorism well really easy way stop participate noam chomsky,2
wow almost tmobile store san diego note7 replacement sadness need get mine replace,3
worried feel safe unhappy,3
ahs6 every minute say nope nope would go move gtfo thank,0
nothing bad uber driver drive awful,0
leave rulenimber carpet clean furious bad atomic bomb accidently spill beer carpet,0
say say america really fortunate black people want equality revenge,1
user know ion play shit bout weary brother,0
user user cmode grimrail make want eat angry bee,0
happy birthday user cheer cheerchick jeep jeepgirl drive jeep jeepjeep cheer,1
user assure laughter increase anger cost arrogance westminster,0
people even debate race inequality within justice system like non existent try aggravate we,0
contain depression new economic engine sustainability say joel user user verge con new grand strategy,3
user huff louder,3
user lol think maybe could decide levity,1
certain hilarity people angry protest national anthem flag act cover amendment,0
want pity instructor would like understanding truly try despite circumstance make discourage,0
communitysleepcoach look narcoleptic puppy make smile human find odd position seek th,1
user vs atlanta yr vs rockie dback yr combine vs atrocious team nl awful,0
user user experience play role education preparedness fear,2
user appointment book today wait day nobody show also request call back never get awful,0
summer officially end today sadness,3
user seriously dude buy bubble tape phone snap break another phone,0
user holy shitwhat hell happen lip fix shit mtv teen mom horrible,0
